Folder,Missing?,Markdown?,Has Pages?,Has Links?,Links are correct?,Front-matter is correct?,Has Intro?,Has Descriptions?,Gregory action required?,Naomi action required?
content/staff-profiles,no,no,n/a,yes,no,n/a,no,no,yes,yes
content,no,no,yes,no,yes,no,no,no,yes,yes
content/reference,yes,,,,,,,,yes,yes
content/no-content-or-duplicate,yes,,,,,,,,yes,yes
content/discussion,yes,,,,,,,,yes,yes
content/fa14,no,yes,yes,yes,yes,yes,yes,no,no,no,
content/fa14/reference,yes,,,,,,,,yes,yes
content/fa14/profiles,no,yes,yes,yes,yes,yes,yes,no,no,no
content/fa14/fld,no,yes,yes,yes,yes,yes,yes,no,no,maybe
content/fa14/fld/*,no,yes,yes,yes,yes,yes,no,no,no,maybe
content/fa14/ann,no,yes,yes,yes,yes,yes,yes,no,no,maybe
content/fa14/ann/*,no,yes,yes,yes,yes,yes,no,no,no,yes
content/fa15,no,yes,yes,yes,yes,no,no,no,yes,yes
content/fa15/reference,yes,,,,,,,,yes,yes
content/fa15/profiles,no,yes,yes,yes,yes,no,no,no,yes,yes
content/fa15/fld,no,yes,yes,yes,yes,no,no,no,yes,yes
content/fa15/fld/*,no,yes,yes,yes,no,no,no,no,yes,yes
content/fa15/ann/*,no,yes,yes,yes,yes,no,no,no,yes,yes
content/fa16,no,yes,yes,yes,yes,no,no,no,yes,yes
content/fa16/profiles,no,yes,yes,yes,yes,no,no,no,yes,yes
content/fa16/fld,no,yes,yes,yes,yes,no,no,no,yes,yes
content/fa16/fld/*,no,yes,yes,yes,no,no,no,no,yes,yes
content/fa16/ann,no,yes,yes,yes,yes,no,no,no,yes,yes
content/fa16/ann/*,no,yes,yes,yes,yes,no,no,no,yes,yes
content/fa17,no,yes,yes,yes,yes,yes,no,no,no,yes
content/fa17/profiles,no,yes,yes,yes,yes,yes,no,no,no,yes
content/fa17/fld,no,yes,yes,yes,yes,yes,no,no,no,yes
content/fa17/fld/*,yes,,,,,,,,yes,yes
content/fa17/fld/elizondo-garza_nina,no,yes,yes,yes,yes,yes,no,no,no,yes
content/fa17/ann,no,yes,yes,yes,yes,yes,no,no,no,yes
content/fa17/ann/*,no,yes,yes,yes,yes,no,no,no,yes,yes
content/fa17/ann/elizondo-garza_nina,no,yes,yes,yes,yes,yes,no,no,no,yes
content/sp15,no,yes,yes,yes (missing assignments),yes,yes,yes,no,yes,maybe
content/sp15/profiles,no,yes,yes,no,n/a,no,no,no,yes,maybe
content/sp15/fld,no,yes,yes,yes,yes,yes,yes,no,no,maybe
content/sp15/fld/boulbolle_jenny,no,yes,yes,yes,yes,yes,no,no,no,maybe
content/sp15/fld/*,no,yes,yes,yes,no,no,no,no,yes,maybe
content/sp15/assignments,yes,,,,,,,,yes,yes
content/sp15/ann,no,yes,yes,yes,yes,yes,yes,no,no,maybe
content/sp15/ann/*,no,yes,yes,yes,yes,yes,no,no,no,maybe
content/sp16,no,yes,yes,yes,no,no,no,no,yes,yes
content/sp16/profiles,no,yes,yes,yes,yes,no,no,no,yes,no
content/sp16/fld,no,yes,yes,yes,yes,no,no,no,yes,maybe
content/sp16/fld/*,no,yes,yes,yes,no,no,no,no,yes,no
content/sp16/ann,no,yes,yes,yes,yes,no,no,no,yes,maybe
content/sp16/ann/*,no,yes,yes,yes,yes,no,no,no,yes,no
content/sp17,no,yes,yes,yes,no,no,no,no,yes,yes
content/sp17/profiles,no,yes,yes,yes,yes,no,no,no,yes,no
content/sp17/fld,no,yes,yes,yes,yes,no,no,no,yes,maybe
content/sp17/fld/*,no,yes,yes,yes,no,no,no,no,yes,no
content/sp17/ann,no,yes,yes,yes,yes,no,no,no,yes,no
content/sp17/ann/*,no,yes,yes,yes,yes,no,no,no,yes,no
content/sp17dh,no,yes,yes,no,n/a,no,no,no,yes,yes
content/sp17dh/profiles,no,yes,yes,no,n/a,no,no,no,yes,no
content/sp17dh/fld,no,yes,yes,yes,yes,no,no,no,yes,maybe
content/sp17dh/fld/*,no,yes,yes,yes,no,no,no,no,yes,no
